127.0.0.1, 2012-08-11 03:52:06, GET, /product/list/view/product/4, HTTP/1.1, 303, 0.026744
127.0.0.1, 2012-08-11 03:52:06, GET, /product/list, HTTP/1.1, 200, 0.056140
127.0.0.1, 2012-08-11 03:52:06, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001269
127.0.0.1, 2012-08-11 03:52:06, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.001175
127.0.0.1, 2012-08-11 03:52:07, GET, /product/list/view/product/3, HTTP/1.1, 303, 0.026507
127.0.0.1, 2012-08-11 03:52:07, GET, /product/list, HTTP/1.1, 200, 0.065275
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.001574
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.000837
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.001487
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000803
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.001788
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001088
127.0.0.1, 2012-08-11 03:52:07, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.001954
127.0.0.1, 2012-08-11 03:52:22, GET, /product/list/export, HTTP/1.1, 303, 0.023257
127.0.0.1, 2012-08-11 03:52:22, GET, /product/list, HTTP/1.1, 200, 0.045972
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.001587
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001628
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.002613
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002403
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.001326
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.001926
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.002857
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.005186
127.0.0.1, 2012-08-11 03:52:23, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000664
127.0.0.1, 2012-08-11 03:52:24, GET, /product/list/export, HTTP/1.1, 303, 0.022983
127.0.0.1, 2012-08-11 03:52:24, GET, /product/list, HTTP/1.1, 200, 0.046477
127.0.0.1, 2012-08-11 03:52:24, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.001161
127.0.0.1, 2012-08-11 03:52:24, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001185
127.0.0.1, 2012-08-11 03:52:25, GET, /product/list/export, HTTP/1.1, 303, 0.023306
127.0.0.1, 2012-08-11 03:52:25, GET, /product/list, HTTP/1.1, 200, 0.048837
127.0.0.1, 2012-08-11 03:52:25, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.000947
127.0.0.1, 2012-08-11 03:52:25, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.000667
127.0.0.1, 2012-08-11 03:52:26, GET, /product/list/export, HTTP/1.1, 303, 0.022582
127.0.0.1, 2012-08-11 03:52:26, GET, /product/list, HTTP/1.1, 200, 0.041279
127.0.0.1, 2012-08-11 03:52:26, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.001626
127.0.0.1, 2012-08-11 03:52:26, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001727
127.0.0.1, 2012-08-11 03:52:29, GET, /product/list, HTTP/1.1, 200, 0.045304
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.002582
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/js/web2py.js, HTTP/1.1, 200, 0.001908
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.001509
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.003515
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.003008
127.0.0.1, 2012-08-11 03:52:29, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.000568
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/img/glyphicons-halflings.png, HTTP/1.1, 200, 0.000532
127.0.0.1, 2012-08-11 03:52:30, GET, /product/list, HTTP/1.1, 200, 0.048020
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/css/web2py.css, HTTP/1.1, 404, 0.001758
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/js/calendar.js, HTTP/1.1, 200, 0.003299
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/css/bootstrap-responsive.css, HTTP/1.1, 200, 0.002776
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/css/bootstrap.css, HTTP/1.1, 200, 0.003921
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/js/jquery.js, HTTP/1.1, 200, 0.003235
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/css/calendar.css, HTTP/1.1, 404, 0.003150
127.0.0.1, 2012-08-11 03:52:30, GET, /ecommerce/static/js/bootstrap.js, HTTP/1.1, 200, 0.000926
